,M1,M2,M3,M4,M5,M6,M7,M8
ids,0.000105609,0.000105627,-0.000105609,-0.000105627,-0.000646653,0.000646652,0.000211236,1e-05
vgs,0.744962,0.745019,-0.758152,-0.758152,-0.764977,0.615082,0.615082,0.615082
vds,1.23687,1.23004,-0.758152,-0.764977,-1.25006,1.24994,0.504981,0.615082
vdsat,0.230338,0.23036,-0.241939,-0.241939,-0.247856,0.204137,0.20333,0.198546
region,saturation,saturation,saturation,saturation,saturation,saturation,saturation,saturation
vbs,-0.504981,-0.504981,0.0,0.0,0.0,0.0,0.0,0.0
vth,0.498025,0.498053,-0.509733,-0.509733,-0.509644,0.380813,0.381923,0.388796
vgsteff,0.246324,0.246352,0.249206,0.249206,0.256017,0.232819,0.231704,0.224804
gm,0.0007863,0.000786348,0.000742938,0.000743056,0.00443752,0.00514703,0.00169039,8.21887e-05
gds,3.99788e-06,4.00359e-06,2.54382e-06,2.5226e-06,1.11135e-05,1.35069e-05,7.58622e-06,2.88987e-07
gmb,0.00014443,0.000144437,0.000241454,0.000241492,0.00144346,0.00114064,0.000374785,1.81918e-05
gmoverid,7.44536,7.4446,7.03478,7.03474,6.86229,7.95951,8.00236,8.21887
self_gain,196.679,196.411,292.056,294.56,399.293,381.068,222.823,284.403
cgs,2.9971e-13,2.99711e-13,1.11986e-12,1.11984e-12,6.43679e-12,8.92521e-12,2.97724e-12,1.47745e-13
cgsovl,1.54047e-14,1.54047e-14,7.30652e-14,7.30652e-14,4.20233e-13,2.31341e-13,7.71007e-14,3.83672e-15
cgb,1.59879e-14,1.59878e-14,1.11815e-13,1.11823e-13,6.42022e-13,5.70909e-13,1.89358e-13,9.72409e-15
cgbovl,1.94414e-18,1.94414e-18,1.89545e-18,1.89545e-18,1.89545e-18,3.94307e-18,3.94307e-18,3.94307e-18
cgd,1.4202e-14,1.42025e-14,7.36274e-14,7.36095e-14,4.20829e-13,2.21369e-13,7.85008e-14,3.77422e-15
cgdovl,1.54047e-14,1.54047e-14,7.30652e-14,7.30652e-14,4.20233e-13,2.31341e-13,7.71007e-14,3.83672e-15
cbd,9.00542e-15,9.01602e-15,4.66173e-14,4.65243e-14,2.37492e-13,1.4723e-13,6.18846e-14,9.04007e-17
cjd,8.82404e-15,8.8344e-15,4.63645e-14,4.62795e-14,2.37226e-13,1.45286e-13,5.8549e-14,0.0
cbs,5.01514e-14,5.01516e-14,2.71719e-13,2.71711e-13,1.56475e-12,1.03316e-12,3.4667e-13,1.73647e-14
cjs,2.73784e-14,2.73784e-14,0.0,0.0,0.0,0.0,0.0,0.0
csd,5.10648e-16,5.103e-16,-4.07501e-16,-3.94572e-16,-4.30797e-16,4.01398e-15,-2.36779e-15,-1.39527e-17
cm,1.28902e-13,1.289025e-13,4.983436e-13,4.983425e-13,2.865971e-12,3.897091e-12,1.2992092e-12,6.464038e-14
cmb,2.514778e-14,2.5147479999999998e-14,1.6050569999999998e-13,1.605077e-13,9.24248e-13,9.7044e-13,3.218234e-13,1.59819993e-14
cmx,2.77039e-14,2.77035e-14,4.9545000000000005e-14,4.954899999999999e-14,2.8401e-13,9.096610000000002e-13,3.00312e-13,1.468971e-14
fug,379337000.0,379359000.0,90586200.0,90602400.0,94171700.0,84299100.0,82904500.0,81124400.0
