time	V(bus02)	V(bus03)	V(bus04)	V(vinn)	V(vinp)
Step Information: Ibias=63µ  (Run: 1/3)
5.792062499676827e-03	6.919645e-01	7.724550e-01	7.127811e-01	1.289603e+00	1.210397e+00
5.889718749676826e-03	6.837307e-01	7.732424e-01	7.072676e-01	1.294486e+00	1.205514e+00
5.987374999676826e-03	6.753875e-01	7.739847e-01	7.020603e-01	1.299369e+00	1.200631e+00
6.085031249676826e-03	6.669497e-01	7.746794e-01	6.971785e-01	1.304252e+00	1.195748e+00
6.182687499676825e-03	6.584316e-01	7.753248e-01	6.926367e-01	1.309134e+00	1.190866e+00
6.280343749676825e-03	6.498473e-01	7.759197e-01	6.884442e-01	1.314017e+00	1.185983e+00
6.377999999676824e-03	6.412095e-01	7.764640e-01	6.846045e-01	1.318900e+00	1.181100e+00
6.475656249676824e-03	6.325301e-01	7.769579e-01	6.811157e-01	1.323783e+00	1.176217e+00
6.573312499676824e-03	6.238195e-01	7.774028e-01	6.779705e-01	1.328666e+00	1.171334e+00
6.670968749676823e-03	6.150857e-01	7.778003e-01	6.751568e-01	1.333548e+00	1.166452e+00
6.768624999676823e-03	6.063347e-01	7.781532e-01	6.726583e-01	1.338431e+00	1.161569e+00
6.866281249676823e-03	5.975699e-01	7.784640e-01	6.704552e-01	1.343314e+00	1.156686e+00
6.963937499676822e-03	5.887920e-01	7.787362e-01	6.685255e-01	1.348197e+00	1.151803e+00
7.061593749676822e-03	5.799991e-01	7.789730e-01	6.668454e-01	1.353080e+00	1.146920e+00
7.159249999676822e-03	5.711873e-01	7.791779e-01	6.653910e-01	1.357962e+00	1.142038e+00
7.256906249676821e-03	5.623504e-01	7.793543e-01	6.641381e-01	1.362845e+00	1.137155e+00
7.354562499676821e-03	5.534813e-01	7.795057e-01	6.630636e-01	1.367728e+00	1.132272e+00
7.452218749676821e-03	5.445724e-01	7.796349e-01	6.621457e-01	1.372611e+00	1.127389e+00
7.549874999676820e-03	5.356162e-01	7.797449e-01	6.613640e-01	1.377494e+00	1.122506e+00
7.647531249676820e-03	5.266066e-01	7.798383e-01	6.607000e-01	1.382377e+00	1.117623e+00
7.745187499676820e-03	5.175389e-01	7.799175e-01	6.601372e-01	1.387259e+00	1.112741e+00
7.842843749676819e-03	5.084109e-01	7.799845e-01	6.596606e-01	1.392142e+00	1.107858e+00
7.940499999676819e-03	4.992230e-01	7.800413e-01	6.592573e-01	1.397025e+00	1.102975e+00
8.038156249676819e-03	4.899776e-01	7.800893e-01	6.589157e-01	1.401908e+00	1.098092e+00
8.135812499676818e-03	4.806798e-01	7.801301e-01	6.586258e-01	1.406791e+00	1.093209e+00
8.233468749676818e-03	4.713358e-01	7.801648e-01	6.583791e-01	1.411673e+00	1.088327e+00
8.331124999676818e-03	4.619535e-01	7.801945e-01	6.581681e-01	1.416556e+00	1.083444e+00
8.428781249676817e-03	4.525407e-01	7.802200e-01	6.579866e-01	1.421439e+00	1.078561e+00
8.526437499676817e-03	4.431054e-01	7.802421e-01	6.578293e-01	1.426322e+00	1.073678e+00
8.624093749676816e-03	4.336550e-01	7.802614e-01	6.576918e-01	1.431205e+00	1.068795e+00
8.721749999676816e-03	4.241960e-01	7.802785e-01	6.575702e-01	1.436087e+00	1.063913e+00
8.819406249676816e-03	4.147341e-01	7.802938e-01	6.574616e-01	1.440970e+00	1.059030e+00
8.917062499676815e-03	4.052739e-01	7.803076e-01	6.573634e-01	1.445853e+00	1.054147e+00
9.014718749676815e-03	3.958190e-01	7.803202e-01	6.572735e-01	1.450736e+00	1.049264e+00
9.112374999676815e-03	3.863726e-01	7.803320e-01	6.571903e-01	1.455619e+00	1.044381e+00
9.210031249676814e-03	3.769369e-01	7.803429e-01	6.571125e-01	1.460502e+00	1.039498e+00
9.405343749676814e-03	3.581059e-01	7.803631e-01	6.569686e-01	1.470267e+00	1.029733e+00
9.600656249676813e-03	3.393410e-01	7.803819e-01	6.568356e-01	1.480033e+00	1.019967e+00
9.954656251939132e-03	3.055611e-01	7.804135e-01	6.566105e-01	1.497733e+00	1.002267e+00
1.000453437480609e-02	3.015361e-01	7.804170e-01	6.565853e-01	1.499773e+00	1.000227e+00
1.033587811898869e-02	3.331431e-01	7.803876e-01	6.567940e-01	1.483206e+00	1.016794e+00
1.053119061898869e-02	3.519303e-01	7.803692e-01	6.569242e-01	1.473441e+00	1.026559e+00
1.072650311898869e-02	3.707696e-01	7.803496e-01	6.570640e-01	1.463675e+00	1.036325e+00
1.082415936898869e-02	3.802066e-01	7.803390e-01	6.571390e-01	1.458792e+00	1.041208e+00
1.092181561898869e-02	3.896535e-01	7.803278e-01	6.572186e-01	1.453909e+00	1.046091e+00
1.101947186898869e-02	3.991088e-01	7.803158e-01	6.573040e-01	1.449026e+00	1.050974e+00
1.111712811898869e-02	4.085702e-01	7.803028e-01	6.573966e-01	1.444144e+00	1.055856e+00
1.121478436898869e-02	4.180348e-01	7.802885e-01	6.574981e-01	1.439261e+00	1.060739e+00
1.131244061898869e-02	4.274988e-01	7.802725e-01	6.576110e-01	1.434378e+00	1.065622e+00
1.141009686898869e-02	4.369575e-01	7.802547e-01	6.577377e-01	1.429495e+00	1.070505e+00
1.150775311898869e-02	4.464050e-01	7.802343e-01	6.578817e-01	1.424612e+00	1.075388e+00
1.160540936898869e-02	4.558345e-01	7.802111e-01	6.580468e-01	1.419730e+00	1.080270e+00
1.170306561898869e-02	4.652385e-01	7.801841e-01	6.582379e-01	1.414847e+00	1.085153e+00
1.180072186898869e-02	4.746090e-01	7.801528e-01	6.584606e-01	1.409964e+00	1.090036e+00
1.189837811898869e-02	4.839382e-01	7.801160e-01	6.587214e-01	1.405081e+00	1.094919e+00
1.199603436898869e-02	4.932188e-01	7.800727e-01	6.590283e-01	1.400198e+00	1.099802e+00
1.209369061898869e-02	5.024449e-01	7.800217e-01	6.593902e-01	1.395316e+00	1.104684e+00
1.219134686898869e-02	5.116124e-01	7.799614e-01	6.598176e-01	1.390433e+00	1.109567e+00
1.228900311898868e-02	5.207193e-01	7.798902e-01	6.603227e-01	1.385550e+00	1.114450e+00
1.238665936898868e-02	5.297665e-01	7.798061e-01	6.609189e-01	1.380667e+00	1.119333e+00
1.248431561898868e-02	5.387570e-01	7.797070e-01	6.616219e-01	1.375784e+00	1.124216e+00
1.258197186898868e-02	5.476959e-01	7.795902e-01	6.624488e-01	1.370901e+00	1.129099e+00
1.267962811898868e-02	5.565901e-01	7.794533e-01	6.634189e-01	1.366019e+00	1.133981e+00
1.277728436898868e-02	5.654471e-01	7.792933e-01	6.645529e-01	1.361136e+00	1.138864e+00
1.287494061898868e-02	5.742745e-01	7.791069e-01	6.658733e-01	1.356253e+00	1.143747e+00
1.297259686898868e-02	5.830792e-01	7.788907e-01	6.674036e-01	1.351370e+00	1.148630e+00
1.307025311898868e-02	5.918665e-01	7.786415e-01	6.691678e-01	1.346487e+00	1.153513e+00
1.316790936898868e-02	6.006397e-01	7.783556e-01	6.711901e-01	1.341605e+00	1.158395e+00
1.326556561898868e-02	6.093999e-01	7.780298e-01	6.734936e-01	1.336722e+00	1.163278e+00
1.336322186898868e-02	6.181454e-01	7.776610e-01	6.760998e-01	1.331839e+00	1.168161e+00
1.346087811898868e-02	6.268719e-01	7.772465e-01	6.790272e-01	1.326956e+00	1.173044e+00
1.355853436898868e-02	6.355727e-01	7.767839e-01	6.822909e-01	1.322073e+00	1.177927e+00
1.365619061898868e-02	6.442387e-01	7.762718e-01	6.859013e-01	1.317191e+00	1.182809e+00
1.375384686898868e-02	6.528593e-01	7.757092e-01	6.898638e-01	1.312308e+00	1.187692e+00
1.385150311898868e-02	6.614220e-01	7.750958e-01	6.941786e-01	1.307425e+00	1.192575e+00
1.394915936898868e-02	6.699135e-01	7.744323e-01	6.988400e-01	1.302542e+00	1.197458e+00
1.404681561898868e-02	6.783198e-01	7.737199e-01	7.038370e-01	1.297659e+00	1.202341e+00
1.414447186898868e-02	6.866263e-01	7.729609e-01	7.091534e-01	1.292776e+00	1.207224e+00
1.424212811898868e-02	6.948185e-01	7.721578e-01	7.147679e-01	1.287894e+00	1.212106e+00
1.433978436898868e-02	7.028816e-01	7.713141e-01	7.206554e-01	1.283011e+00	1.216989e+00
1.443744061898868e-02	7.108011e-01	7.704338e-01	7.267869e-01	1.278128e+00	1.221872e+00
1.453509686898868e-02	7.185629e-01	7.695209e-01	7.331302e-01	1.273245e+00	1.226755e+00
1.463275311898868e-02	7.261530e-01	7.685803e-01	7.396508e-01	1.268362e+00	1.231638e+00
1.473040936898868e-02	7.335577e-01	7.676171e-01	7.463120e-01	1.263480e+00	1.236520e+00
1.482806561898868e-02	7.407639e-01	7.666365e-01	7.530758e-01	1.258597e+00	1.241403e+00
1.512103436898867e-02	7.610633e-01	7.636458e-01	7.735903e-01	1.243948e+00	1.256052e+00
1.521869061898867e-02	7.673496e-01	7.626516e-01	7.803704e-01	1.239066e+00	1.260934e+00
1.531634686898867e-02	7.733767e-01	7.616684e-01	7.870556e-01	1.234183e+00	1.265817e+00
1.541400311898867e-02	7.791340e-01	7.607018e-01	7.936079e-01	1.229300e+00	1.270700e+00
1.551165936898867e-02	7.846119e-01	7.597575e-01	7.999905e-01	1.224417e+00	1.275583e+00
1.560931561898867e-02	7.898015e-01	7.588407e-01	8.061684e-01	1.219534e+00	1.280466e+00
1.570697186898867e-02	7.946951e-01	7.579566e-01	8.121089e-01	1.214651e+00	1.285349e+00
1.580462811898867e-02	7.992869e-01	7.571099e-01	8.177823e-01	1.209769e+00	1.290231e+00
1.590228436898868e-02	8.035725e-01	7.563046e-01	8.231624e-01	1.204886e+00	1.295114e+00
1.599994061898868e-02	8.075495e-01	7.555447e-01	8.282269e-01	1.200003e+00	1.299997e+00
1.609759686898868e-02	8.112182e-01	7.548329e-01	8.329582e-01	1.195120e+00	1.304880e+00
1.619525311898868e-02	8.145812e-01	7.541715e-01	8.373438e-01	1.190237e+00	1.309763e+00
1.629290936898868e-02	8.176439e-01	7.535620e-01	8.413765e-01	1.185355e+00	1.314645e+00
1.639056561898868e-02	8.204146e-01	7.530049e-01	8.450549e-01	1.180472e+00	1.319528e+00
1.648822186898868e-02	8.229043e-01	7.525000e-01	8.483828e-01	1.175589e+00	1.324411e+00
1.658587811898869e-02	8.251268e-01	7.520460e-01	8.513697e-01	1.170706e+00	1.329294e+00
1.668353436898869e-02	8.270978e-01	7.516412e-01	8.540294e-01	1.165823e+00	1.334177e+00
1.678119061898869e-02	8.288349e-01	7.512828e-01	8.563800e-01	1.160941e+00	1.339059e+00
1.687884686898869e-02	8.303570e-01	7.509680e-01	8.584424e-01	1.156058e+00	1.343942e+00
1.697650311898869e-02	8.316836e-01	7.506934e-01	8.602400e-01	1.151175e+00	1.348825e+00
1.707415936898869e-02	8.328346e-01	7.504553e-01	8.617971e-01	1.146292e+00	1.353708e+00
1.717181561898869e-02	8.338292e-01	7.502500e-01	8.631384e-01	1.141409e+00	1.358591e+00
1.726947186898870e-02	8.346856e-01	7.500739e-01	8.642882e-01	1.136526e+00	1.363474e+00
1.736712811898870e-02	8.354214e-01	7.499235e-01	8.652694e-01	1.131644e+00	1.368356e+00
1.746478436898870e-02	8.360525e-01	7.497956e-01	8.661039e-01	1.126761e+00	1.373239e+00
1.756244061898870e-02	8.365934e-01	7.496871e-01	8.668114e-01	1.121878e+00	1.378122e+00
1.766009686898870e-02	8.370571e-01	7.495952e-01	8.674099e-01	1.116995e+00	1.383005e+00
1.775775311898870e-02	8.374549e-01	7.495176e-01	8.679153e-01	1.112112e+00	1.387888e+00
1.785540936898870e-02	8.377971e-01	7.494521e-01	8.683420e-01	1.107230e+00	1.392770e+00
1.795306561898870e-02	8.380924e-01	7.493968e-01	8.687021e-01	1.102347e+00	1.397653e+00
1.805072186898871e-02	8.383484e-01	7.493500e-01	8.690065e-01	1.097464e+00	1.402536e+00
1.814837811898871e-02	8.385718e-01	7.493104e-01	8.692645e-01	1.092581e+00	1.407419e+00
1.824603436898871e-02	8.387680e-01	7.492766e-01	8.694840e-01	1.087698e+00	1.412302e+00
1.834369061898871e-02	8.389418e-01	7.492478e-01	8.696718e-01	1.082816e+00	1.417184e+00
